日付,価格
1985-01-22,11.236
1985-01-23,11.178
1985-01-24,11.033
1985-01-25,11.089
1985-01-28,11.089
1985-01-29,11.089
1985-01-30,11.058
1985-01-31,11.146
1985-02-01,11.272
1985-02-04,11.324
1985-02-05,11.282
1985-02-06,11.378
1985-02-07,11.42
1985-02-08,11.387
1985-02-11,11.398
1985-02-12,11.398
1985-02-13,11.387
1985-02-14,11.323
1985-02-15,11.398
1985-02-18,11.398
1985-02-19,11.382
1985-02-20,11.524
1985-02-21,11.657
1985-02-22,11.766
1985-02-25,11.794
1985-02-26,11.739
1985-02-27,11.894
1985-02-28,11.927
1985-03-01,11.85
1985-03-04,11.922
1985-03-05,11.85
1985-03-06,11.899
1985-03-07,11.927
1985-03-08,11.705
1985-03-11,11.711
1985-03-12,11.765
1985-03-13,11.882
1985-03-14,11.904
1985-03-15,11.921
1985-03-18,11.999
1985-03-19,11.978
1985-03-20,11.899
1985-03-21,11.809
1985-03-22,11.87
1985-03-25,11.837
1985-03-26,11.748
1985-03-27,11.825
1985-03-28,11.731
1985-03-29,11.637
1985-04-01,11.637
1985-04-02,11.681
1985-04-03,11.715
1985-04-04,11.725
1985-04-05,11.725
1985-04-08,11.747
1985-04-09,11.637
1985-04-10,11.554
1985-04-11,11.397
1985-04-12,11.408
1985-04-15,11.349
1985-04-16,11.231
1985-04-17,11.268
1985-04-18,11.109
1985-04-19,11.109
1985-04-22,11.103
1985-04-23,11.231
1985-04-24,11.23
1985-04-25,11.342
1985-04-26,11.326
1985-04-29,11.451
1985-04-30,11.396
1985-05-01,11.245
1985-05-02,11.267
1985-05-03,11.181
1985-05-06,11.16
1985-05-07,11.143
1985-05-08,11.261
1985-05-09,11.176
1985-05-10,11.028
1985-05-13,11.027
1985-05-14,10.881
1985-05-15,10.876
1985-05-16,10.814
1985-05-17,10.834
1985-05-20,10.537
1985-05-21,10.588
1985-05-22,10.602
1985-05-23,10.643
1985-05-24,10.576
1985-05-27,10.581
1985-05-28,10.414
1985-05-29,10.45
1985-05-30,10.384
1985-05-31,10.289
1985-06-03,10.039
1985-06-04,10.034
1985-06-05,9.82
1985-06-06,9.881
1985-06-07,10.182
1985-06-10,10.153
1985-06-11,10.066
1985-06-12,10.065
1985-06-13,10.196
1985-06-14,9.964
1985-06-17,9.959
1985-06-18,9.892
1985-06-19,10.025
1985-06-20,10.122
1985-06-21,10.316
1985-06-24,10.425
1985-06-25,10.49
1985-06-26,10.53
1985-06-27,10.37
1985-06-28,10.236
1985-07-01,10.173
1985-07-02,10.183
1985-07-03,10.216
1985-07-04,10.197
1985-07-05,9.921
1985-07-08,10.036
1985-07-09,10.04
1985-07-10,10.055
1985-07-11,10.206
1985-07-12,10.22
1985-07-15,10.205
1985-07-16,10.136
1985-07-17,10.102
1985-07-18,10.278
1985-07-19,10.322
1985-07-22,10.441
1985-07-23,10.446
1985-07-24,10.491
1985-07-25,10.501
1985-07-26,10.571
1985-07-29,10.647
1985-07-30,10.642
1985-07-31,10.556
1985-08-01,10.49
1985-08-02,10.637
1985-08-05,10.621
1985-08-06,10.626
1985-08-07,10.565
1985-08-08,10.464
1985-08-09,10.434
1985-08-12,10.434
1985-08-13,10.519
1985-08-14,10.454
1985-08-15,10.444
1985-08-16,10.324
1985-08-19,10.314
1985-08-20,10.269
1985-08-21,10.209
1985-08-22,10.18
1985-08-23,10.219
1985-08-26,10.248
1985-08-27,10.194
1985-08-28,10.214
1985-08-29,10.199
1985-08-30,10.322
1985-09-02,10.264
1985-09-03,10.224
1985-09-04,10.149
1985-09-05,10.254
1985-09-06,10.483
1985-09-09,10.473
1985-09-10,10.457
1985-09-11,10.493
1985-09-12,10.503
1985-09-13,10.391
1985-09-16,10.355
1985-09-17,10.395
1985-09-18,10.421
1985-09-19,10.411
1985-09-20,10.339
1985-09-23,10.364
1985-09-24,10.309
1985-09-25,10.292
1985-09-26,10.197
1985-09-27,10.197
1985-09-30,10.288
1985-10-01,10.268
1985-10-02,10.277
1985-10-03,10.298
1985-10-04,10.333
1985-10-07,10.404
1985-10-08,10.349
1985-10-09,10.354
1985-10-10,10.338
1985-10-11,10.328
1985-10-14,10.328
1985-10-15,10.287
1985-10-16,10.241
1985-10-17,10.196
1985-10-18,10.155
1985-10-21,10.166
1985-10-22,10.106
1985-10-23,10.115
1985-10-24,10.126
1985-10-25,10.186
1985-10-28,10.261
1985-10-29,10.085
1985-10-30,9.95
1985-10-31,9.99
1985-11-01,9.95
1985-11-04,9.945
1985-11-05,9.896
1985-11-06,9.901
1985-11-07,9.88
1985-11-08,9.811
1985-11-11,9.811
1985-11-12,9.693
1985-11-13,9.753
1985-11-14,9.81
1985-11-15,9.884
1985-11-18,9.693
1985-11-19,9.688
1985-11-20,9.688
1985-11-21,9.63
1985-11-22,9.703
1985-11-25,9.722
1985-11-26,9.722
1985-11-27,9.692
1985-11-28,9.693
1985-11-29,9.629
1985-12-02,9.676
1985-12-03,9.671
1985-12-04,9.616
1985-12-05,9.612
1985-12-06,9.611
1985-12-09,9.482
1985-12-10,9.35
1985-12-11,9.186
1985-12-12,9.181
1985-12-13,9.122
1985-12-16,9.146
1985-12-17,9.023
1985-12-18,9.099
1985-12-19,9.089
1985-12-20,9.027
1985-12-23,9.069
1985-12-24,9.06
1985-12-25,9.06
1985-12-26,9.021
1985-12-27,8.978
1985-12-30,8.978
1985-12-31,8.987
1986-01-01,8.987
1986-01-02,9.025
1986-01-03,9.033
1986-01-06,9.048
1986-01-07,8.915
1986-01-08,9.105
1986-01-09,9.249
1986-01-10,9.366
1986-01-13,9.469
1986-01-14,9.405
1986-01-15,9.293
1986-01-16,9.278
1986-01-17,9.219
1986-01-20,9.219
1986-01-21,9.2
1986-01-22,9.253
1986-01-23,9.204
1986-01-24,9.204
1986-01-27,9.102
1986-01-28,9.021
1986-01-29,9.021
1986-01-30,9.078
1986-01-31,9.044
1986-02-03,8.981
1986-02-04,8.925
1986-02-05,9.006
1986-02-06,9.044
1986-02-07,9.043
1986-02-10,9.057
1986-02-11,8.947
1986-02-12,8.957
1986-02-13,8.89
1986-02-14,8.72
1986-02-17,8.72
1986-02-18,8.693
1986-02-19,8.743
1986-02-20,8.739
1986-02-21,8.687
1986-02-24,8.455
1986-02-25,8.455
1986-02-26,8.401
1986-02-27,8.188
1986-02-28,8.143
1986-03-03,7.979
1986-03-04,7.926
1986-03-05,8.113
1986-03-06,8.032
1986-03-07,7.947
1986-03-10,7.753
1986-03-11,7.689
1986-03-12,7.675
1986-03-13,7.744
1986-03-14,7.713
1986-03-17,7.761
1986-03-18,7.821
1986-03-19,7.808
1986-03-20,7.773
1986-03-21,7.794
1986-03-24,7.689
1986-03-25,7.689
1986-03-26,7.627
1986-03-27,7.482
1986-03-28,7.464
1986-03-31,7.379
1986-04-01,7.357
1986-04-02,7.318
1986-04-03,7.394
1986-04-04,7.436
1986-04-07,7.414
1986-04-08,7.292
1986-04-09,7.254
1986-04-10,7.215
1986-04-11,7.273
1986-04-14,7.176
1986-04-15,7.201
1986-04-16,6.965
1986-04-17,7.018
1986-04-18,7.075
1986-04-21,7.021
1986-04-22,7.232
1986-04-23,7.232
1986-04-24,7.499
1986-04-25,7.567
1986-04-28,7.463
1986-04-29,7.369
1986-04-30,7.369
1986-05-01,7.428
1986-05-02,7.496
1986-05-05,7.427
1986-05-06,7.44
1986-05-07,7.508
1986-05-08,7.469
1986-05-09,7.516
1986-05-12,7.663
1986-05-13,7.702
1986-05-14,7.702
1986-05-15,7.839
1986-05-16,8.031
1986-05-19,8.026
1986-05-20,7.945
1986-05-21,7.963
1986-05-22,7.936
1986-05-23,7.899
1986-05-26,7.899
1986-05-27,7.818
1986-05-28,7.804
1986-05-29,8.033
1986-05-30,8.065
1986-06-02,8.31
1986-06-03,8.179
1986-06-04,8.378
1986-06-05,8.3
1986-06-06,7.941
1986-06-09,8.117
1986-06-10,8.055
1986-06-11,8.003
1986-06-12,7.965
1986-06-13,7.717
1986-06-16,7.625
1986-06-17,7.615
1986-06-18,7.565
1986-06-19,7.675
1986-06-20,7.593
1986-06-23,7.538
1986-06-24,7.465
1986-06-25,7.41
1986-06-26,7.406
1986-06-27,7.374
1986-06-30,7.338
1986-07-01,7.356
1986-07-02,7.356
1986-07-03,7.298
1986-07-04,7.298
1986-07-07,7.302
1986-07-08,7.429
1986-07-09,7.302
1986-07-10,7.302
1986-07-11,7.293
1986-07-14,7.235
1986-07-15,7.15
1986-07-16,7.185
1986-07-17,7.168
1986-07-18,7.15
1986-07-21,7.128
1986-07-22,7.185
1986-07-23,7.275
1986-07-24,7.338
1986-07-25,7.32
1986-07-28,7.516
1986-07-29,7.401
1986-07-30,7.401
1986-07-31,7.329
1986-08-01,7.329
1986-08-04,7.316
1986-08-05,7.379
1986-08-06,7.452
1986-08-07,7.434
1986-08-08,7.293
1986-08-11,7.248
1986-08-12,7.221
1986-08-13,7.141
1986-08-14,7.154
1986-08-15,7.135
1986-08-18,7.135
1986-08-19,7.012
1986-08-20,7.012
1986-08-21,6.946
1986-08-22,7.06
1986-08-25,7.047
1986-08-26,6.954
1986-08-27,7.051
1986-08-28,7.029
1986-08-29,6.923
1986-09-01,6.923
1986-09-02,7.006
1986-09-03,7.176
1986-09-04,7.132
1986-09-05,7.293
1986-09-08,7.357
1986-09-09,7.33
1986-09-10,7.325
1986-09-11,7.55
1986-09-12,7.607
1986-09-15,7.509
1986-09-16,7.509
1986-09-17,7.44
1986-09-18,7.603
