日付,価格
1985-01-18,307.6
1985-01-21,308.1
1985-01-22,305.9
1985-01-23,300.85
1985-01-24,299.85
1985-01-25,300.2
1985-01-28,301.45
1985-01-29,302.25
1985-01-30,306.6
1985-01-31,308.4
1985-02-01,306.25
1985-02-04,304.85
1985-02-05,305.3
1985-02-06,306.05
1985-02-07,304.04999999999995
1985-02-08,303.2
1985-02-11,304.95
1985-02-12,305.1
1985-02-13,305.1
1985-02-14,306.29999999999995
1985-02-15,307.2
1985-02-19,305.54999999999995
1985-02-20,305.85
1985-02-21,302.3
1985-02-22,298.15
1985-02-25,285.8
1985-02-26,287.75
1985-02-27,291.4
1985-02-28,290.1
1985-03-01,290.15
1985-03-04,290.45
1985-03-05,288.54999999999995
1985-03-06,290.35
1985-03-07,291.0
1985-03-08,289.75
1985-03-11,290.55
1985-03-12,290.15
1985-03-13,291.45
1985-03-14,291.3
1985-03-15,293.1
1985-03-18,299.70000000000005
1985-03-19,320.65
1985-03-20,326.15
1985-03-21,317.25
1985-03-22,317.65
1985-03-25,316.45
1985-03-26,320.45
1985-03-27,329.65
1985-03-28,331.6
1985-03-29,334.55
1985-04-01,323.6
1985-04-02,323.85
1985-04-03,323.2
1985-04-04,322.5
1985-04-08,325.75
1985-04-09,327.54999999999995
1985-04-10,329.25
1985-04-11,336.5
1985-04-12,333.05
1985-04-15,334.9
1985-04-16,332.65
1985-04-17,329.15
1985-04-18,331.65
1985-04-19,330.75
1985-04-22,330.5
1985-04-23,327.8
1985-04-24,325.15
1985-04-25,325.35
1985-04-26,325.35
1985-04-29,326.5
1985-04-30,321.25
1985-05-01,316.3
1985-05-02,315.15
1985-05-03,313.85
1985-05-06,311.0
1985-05-07,315.55
1985-05-08,314.6
1985-05-09,315.65
1985-05-10,315.75
1985-05-13,322.65
1985-05-14,325.15
1985-05-15,323.95
1985-05-16,321.0
1985-05-17,321.75
1985-05-20,319.0
1985-05-21,317.35
1985-05-22,317.6
1985-05-23,316.4
1985-05-24,315.0
1985-05-28,312.15
1985-05-29,313.25
1985-05-30,316.8
1985-05-31,317.8
1985-06-03,320.20000000000005
1985-06-04,319.20000000000005
1985-06-05,318.2
1985-06-06,318.6
1985-06-07,317.95
1985-06-10,315.85
1985-06-11,316.6
1985-06-12,316.95
1985-06-13,317.2
1985-06-14,322.25
1985-06-17,321.4
1985-06-18,328.15
1985-06-19,326.9
1985-06-20,319.25
1985-06-21,316.05
1985-06-24,316.95
1985-06-25,317.70000000000005
1985-06-26,318.15
1985-06-27,318.5
1985-06-28,318.35
1985-07-01,313.95000000000005
1985-07-02,311.6
1985-07-03,311.2
1985-07-08,314.3
1985-07-09,316.15
1985-07-10,316.35
1985-07-11,314.85
1985-07-12,317.45
1985-07-15,318.29999999999995
1985-07-16,319.4
1985-07-17,324.9
1985-07-18,321.55
1985-07-19,319.15
1985-07-22,320.15
1985-07-23,320.65
1985-07-24,319.05
1985-07-25,319.65
1985-07-26,319.75
1985-07-29,323.35
1985-07-30,332.1
1985-07-31,336.0
1985-08-01,330.25
1985-08-02,329.25
1985-08-05,330.65
1985-08-06,328.55
1985-08-07,329.6
1985-08-08,330.4
1985-08-09,333.15
1985-08-12,335.1
1985-08-13,335.55
1985-08-14,333.85
1985-08-15,339.45
1985-08-16,344.4
1985-08-19,346.9
1985-08-20,342.75
1985-08-21,344.0
1985-08-22,343.45
1985-08-23,341.85
1985-08-26,342.7
1985-08-27,343.45
1985-08-28,347.65
1985-08-29,343.15
1985-08-30,340.85
1985-09-03,333.0
1985-09-04,332.05
1985-09-05,329.05
1985-09-06,324.3
1985-09-09,324.75
1985-09-10,326.8
1985-09-11,326.85
1985-09-12,324.9
1985-09-13,325.8
1985-09-16,324.5
1985-09-17,322.5
1985-09-18,320.5
1985-09-19,322.95000000000005
1985-09-20,324.9
1985-09-23,334.1
1985-09-24,334.25
1985-09-25,334.0
1985-09-26,333.35
1985-09-27,332.7
1985-09-30,328.55
1985-10-01,326.55
1985-10-02,327.65
1985-10-03,331.7
1985-10-04,333.25
1985-10-07,330.75
1985-10-08,329.3
1985-10-09,329.75
1985-10-10,329.05
1985-10-11,330.0
1985-10-14,329.9
1985-10-15,329.55
1985-10-16,327.3
1985-10-17,328.29999999999995
1985-10-18,329.6
1985-10-21,329.2
1985-10-22,329.75
1985-10-23,329.5
1985-10-24,328.35
1985-10-25,328.79999999999995
1985-10-28,328.9
1985-10-29,329.4
1985-10-30,328.35
1985-10-31,327.45
1985-11-01,326.9
1985-11-04,327.15
1985-11-05,326.29999999999995
1985-11-06,326.0
1985-11-07,324.05
1985-11-08,324.45000000000005
1985-11-11,324.45
1985-11-12,325.3
1985-11-13,326.0
1985-11-14,326.15
1985-11-15,325.25
1985-11-18,324.75
1985-11-19,324.95
1985-11-20,326.3
1985-11-21,327.25
1985-11-22,326.95
1985-11-25,331.45
1985-11-26,331.45
1985-11-27,327.85
1985-11-29,329.15
1985-12-02,327.15
1985-12-03,326.45
1985-12-04,327.35
1985-12-05,326.4
1985-12-06,326.25
1985-12-09,321.15
1985-12-10,320.1
1985-12-11,318.3
1985-12-12,319.75
1985-12-13,321.9
1985-12-16,323.2
1985-12-17,324.7
1985-12-18,325.35
1985-12-19,327.0
1985-12-20,328.25
1985-12-23,328.9
1985-12-24,328.0
1985-12-26,327.65
1985-12-27,328.5
1985-12-30,329.8
1985-12-31,330.3
1986-01-02,329.35
1986-01-03,329.2
1986-01-06,330.6
1986-01-07,332.20000000000005
1986-01-08,334.8
1986-01-09,338.2
1986-01-10,342.5
1986-01-13,342.0
1986-01-14,341.5
1986-01-15,348.85
1986-01-16,362.8
1986-01-17,358.25
1986-01-20,353.8
1986-01-21,355.9
1986-01-22,352.9
1986-01-23,352.2
1986-01-24,356.9
1986-01-27,357.3
1986-01-28,353.95
1986-01-29,355.15
1986-01-30,360.04999999999995
1986-01-31,355.35
1986-02-03,349.2
1986-02-04,339.95
1986-02-05,339.9
1986-02-06,339.95
1986-02-07,341.5
1986-02-10,342.65
1986-02-11,340.75
1986-02-12,340.9
1986-02-13,335.9
1986-02-14,334.1
1986-02-18,337.95
1986-02-19,341.5
1986-02-20,340.95
1986-02-21,342.05
1986-02-24,348.25
1986-02-25,352.5
1986-02-26,343.25
1986-02-27,339.6
1986-02-28,340.65
1986-03-03,340.5
1986-03-04,346.0
1986-03-05,344.4
1986-03-06,344.25
1986-03-07,344.85
1986-03-10,342.65
1986-03-11,344.35
1986-03-12,349.5
1986-03-13,350.35
1986-03-14,348.95
1986-03-17,350.0
1986-03-18,350.65
1986-03-19,350.3
1986-03-20,351.85
1986-03-21,354.6
1986-03-24,351.65
1986-03-25,349.5
1986-03-26,344.6
1986-03-27,343.55
1986-03-31,340.4
1986-04-01,336.5
1986-04-02,338.5
1986-04-03,338.54999999999995
1986-04-04,337.9
1986-04-07,340.35
1986-04-08,343.2
1986-04-09,342.0
1986-04-10,340.75
1986-04-11,345.0
1986-04-14,344.6
1986-04-15,343.7
1986-04-16,342.2
1986-04-17,341.75
1986-04-18,345.6
1986-04-21,344.85
1986-04-22,347.85
1986-04-23,348.25
1986-04-24,347.05
1986-04-25,346.1
1986-04-28,345.9
1986-04-29,345.45
1986-04-30,347.55
1986-05-01,345.4
1986-05-02,343.85
1986-05-05,344.35
1986-05-06,342.5
1986-05-07,344.65
1986-05-08,345.9
1986-05-09,345.75
1986-05-12,346.25
1986-05-13,344.8
1986-05-14,343.55
1986-05-15,343.2
1986-05-16,343.65
1986-05-19,341.85
1986-05-20,339.4
1986-05-21,339.6
1986-05-22,341.25
1986-05-23,341.75
1986-05-27,341.65
1986-05-28,342.4
1986-05-29,346.5
1986-05-30,346.95000000000005
1986-06-02,345.65
1986-06-03,345.55
1986-06-04,344.8
1986-06-05,344.70000000000005
1986-06-06,345.0
1986-06-09,349.35
1986-06-10,351.6
1986-06-11,351.5
1986-06-12,351.3
1986-06-13,349.5
1986-06-16,338.5
1986-06-17,338.9
1986-06-18,340.75
1986-06-19,340.85
1986-06-20,341.9
1986-06-23,343.05
1986-06-24,344.1
1986-06-25,346.45000000000005
1986-06-26,347.05
1986-06-27,346.9
1986-06-30,348.1
1986-07-01,347.0
1986-07-02,344.95
1986-07-03,345.29999999999995
1986-07-07,345.7
1986-07-08,350.2
1986-07-09,350.55
1986-07-10,348.65
1986-07-11,348.65
1986-07-14,346.6
1986-07-15,348.20000000000005
1986-07-16,349.2
1986-07-17,348.35
1986-07-18,352.4
1986-07-21,355.55
1986-07-22,354.25
1986-07-23,350.1
1986-07-24,348.95000000000005
1986-07-25,348.85
1986-07-28,353.9
1986-07-29,353.0
1986-07-30,358.45000000000005
1986-07-31,368.35
1986-08-01,367.25
1986-08-04,366.75
1986-08-05,365.70000000000005
1986-08-06,368.25
1986-08-07,368.9
