日付,価格
1985-01-21,173.25
1985-01-22,175.35
1985-01-23,176.4
1985-01-24,177.0
1985-01-25,177.0
1985-01-28,177.35000000000002
1985-01-29,178.3
1985-01-30,179.3
1985-01-31,179.5
1985-02-01,179.1
1985-02-04,179.45
1985-02-05,180.45
1985-02-06,180.5
1985-02-07,181.10000000000002
1985-02-08,182.0
1985-02-11,181.35
1985-02-12,180.55
1985-02-13,181.95
1985-02-14,182.85000000000002
1985-02-15,182.0
1985-02-19,181.45
1985-02-20,181.25
1985-02-21,180.7
1985-02-22,179.8
1985-02-25,179.3
1985-02-26,180.2
1985-02-27,180.95
1985-02-28,180.95
1985-03-01,182.2
1985-03-04,182.64999999999998
1985-03-05,182.14999999999998
1985-03-06,181.45
1985-03-07,180.1
1985-03-08,179.3
1985-03-11,178.95
1985-03-12,179.25
1985-03-13,178.95
1985-03-14,178.0
1985-03-15,177.15
1985-03-18,176.7
1985-03-19,178.2
1985-03-20,179.3
1985-03-21,179.2
1985-03-22,179.15
1985-03-25,178.5
1985-03-26,178.2
1985-03-27,178.95
1985-03-28,179.5
1985-03-29,180.1
1985-04-01,181.0
1985-04-02,180.9
1985-04-03,179.8
1985-04-04,179.05
1985-04-08,178.5
1985-04-09,178.1
1985-04-10,178.8
1985-04-11,179.8
1985-04-12,180.35
1985-04-15,180.7
1985-04-16,181.05
1985-04-17,181.45
1985-04-18,181.25
1985-04-19,180.95
1985-04-22,180.89999999999998
1985-04-23,181.3
1985-04-24,182.10000000000002
1985-04-25,182.85000000000002
1985-04-26,182.8
1985-04-29,181.39999999999998
1985-04-30,180.2
1985-05-01,179.10000000000002
1985-05-02,178.7
1985-05-03,179.55
1985-05-06,180.05
1985-05-07,180.4
1985-05-08,180.7
1985-05-09,181.25
1985-05-10,183.10000000000002
1985-05-13,184.45
1985-05-14,184.25
1985-05-15,184.2
1985-05-16,185.1
1985-05-17,186.55
1985-05-20,188.55
1985-05-21,189.64999999999998
1985-05-22,189.1
1985-05-23,188.1
1985-05-24,187.95
1985-05-28,188.10000000000002
1985-05-29,187.8
1985-05-30,187.75
1985-05-31,188.7
1985-06-03,189.45
1985-06-04,189.65
1985-06-05,190.1
1985-06-06,190.64999999999998
1985-06-07,190.39999999999998
1985-06-10,189.6
1985-06-11,189.25
1985-06-12,188.3
1985-06-13,186.45
1985-06-14,186.2
1985-06-17,186.8
1985-06-18,186.9
1985-06-19,186.95
1985-06-20,186.64999999999998
1985-06-21,188.14999999999998
1985-06-24,189.39999999999998
1985-06-25,189.45
1985-06-26,189.89999999999998
1985-06-27,190.64999999999998
1985-06-28,191.5
1985-07-01,192.10000000000002
1985-07-02,192.2
1985-07-03,191.7
1985-07-05,191.95
1985-07-08,192.2
1985-07-09,191.5
1985-07-10,191.75
1985-07-11,192.65
1985-07-12,193.10000000000002
1985-07-15,193.0
1985-07-16,193.7
1985-07-17,195.2
1985-07-18,195.05
1985-07-19,194.75
1985-07-22,194.7
1985-07-23,193.45
1985-07-24,192.1
1985-07-25,191.85
1985-07-26,192.25
1985-07-29,191.0
1985-07-30,189.75
1985-07-31,190.4
1985-08-01,191.5
1985-08-02,191.8
1985-08-05,191.05
1985-08-06,189.25
1985-08-07,187.8
1985-08-08,188.3
1985-08-09,188.60000000000002
1985-08-12,187.95
1985-08-13,187.45
1985-08-14,187.35000000000002
1985-08-15,187.35000000000002
1985-08-16,186.7
1985-08-19,186.25
1985-08-20,187.25
1985-08-21,188.64999999999998
1985-08-22,188.3
1985-08-23,187.3
1985-08-26,187.25
1985-08-27,187.7
1985-08-28,188.45
1985-08-29,188.85000000000002
1985-08-30,188.75
1985-09-03,188.25
1985-09-04,187.65
1985-09-05,187.35000000000002
1985-09-06,187.75
1985-09-09,188.2
1985-09-10,187.55
1985-09-11,185.95
1985-09-12,184.35
1985-09-13,183.3
1985-09-16,182.9
1985-09-17,182.15
1985-09-18,181.55
1985-09-19,182.55
1985-09-20,182.75
1985-09-23,183.2
1985-09-24,183.45
1985-09-25,181.64999999999998
1985-09-26,181.0
1985-09-27,181.3
1985-09-30,181.7
1985-10-01,183.6
1985-10-02,184.6
1985-10-03,184.25
1985-10-04,183.8
1985-10-07,182.55
1985-10-08,181.9
1985-10-09,182.2
1985-10-10,182.65
1985-10-11,183.55
1985-10-14,185.35000000000002
1985-10-15,186.25
1985-10-16,187.05
1985-10-17,187.85
1985-10-18,187.35
1985-10-21,187.0
1985-10-22,187.5
1985-10-23,188.55
1985-10-24,188.8
1985-10-25,188.0
1985-10-28,187.65
1985-10-29,188.5
1985-10-30,189.64999999999998
1985-10-31,189.95
1985-11-01,190.65
1985-11-04,191.35
1985-11-05,191.8
1985-11-06,192.60000000000002
1985-11-07,192.7
1985-11-08,193.14999999999998
1985-11-11,195.5
1985-11-12,197.7
1985-11-13,197.6
1985-11-14,198.1
1985-11-15,198.6
1985-11-18,198.39999999999998
1985-11-19,198.7
1985-11-20,198.85
1985-11-21,200.2
1985-11-22,201.45
1985-11-25,200.9
1985-11-26,200.5
1985-11-27,201.6
1985-11-29,202.35
1985-12-02,201.35
1985-12-03,200.7
1985-12-04,202.55
1985-12-05,204.05
1985-12-06,203.45
1985-12-09,203.6
1985-12-10,204.3
1985-12-11,205.35000000000002
1985-12-12,206.5
1985-12-13,208.3
1985-12-16,210.95
1985-12-17,211.35
1985-12-18,210.25
1985-12-19,209.9
1985-12-20,210.45
1985-12-23,209.75
1985-12-24,207.85
1985-12-26,207.39999999999998
1985-12-27,208.64999999999998
1985-12-30,210.14999999999998
1985-12-31,211.0
1986-01-02,210.45
1986-01-03,210.25
1986-01-06,210.8
1986-01-07,212.25
1986-01-08,210.9
1986-01-09,207.05
1986-01-10,206.05
1986-01-13,206.35
1986-01-14,206.64999999999998
1986-01-15,207.45
1986-01-16,208.75
1986-01-17,208.8
1986-01-20,207.95
1986-01-21,206.65
1986-01-22,204.65
1986-01-23,203.85
1986-01-24,205.3
1986-01-27,206.9
1986-01-28,208.60000000000002
1986-01-29,210.05
1986-01-30,209.8
1986-01-31,210.55
1986-02-03,212.9
1986-02-04,213.4
1986-02-05,212.9
1986-02-06,213.25
1986-02-07,214.05
1986-02-10,215.39999999999998
1986-02-11,216.05
1986-02-12,215.95
1986-02-13,216.7
1986-02-14,218.60000000000002
1986-02-18,221.10000000000002
1986-02-19,221.10000000000002
1986-02-20,221.0
1986-02-21,223.39999999999998
1986-02-24,224.45
1986-02-25,224.05
1986-02-26,223.9
1986-02-27,225.4
1986-02-28,226.85000000000002
1986-03-03,226.15
1986-03-04,224.9
1986-03-05,224.35000000000002
1986-03-06,224.7
1986-03-07,225.35
1986-03-10,226.1
1986-03-11,229.14999999999998
1986-03-12,232.1
1986-03-13,232.85
1986-03-14,234.89999999999998
1986-03-17,235.64999999999998
1986-03-18,235.25
1986-03-19,235.7
1986-03-20,236.05
1986-03-21,234.9
1986-03-24,234.3
1986-03-25,235.0
1986-03-26,236.0
1986-03-27,238.15
1986-03-31,238.95
1986-04-01,237.0
1986-04-02,235.39999999999998
1986-04-03,234.1
1986-04-04,230.6
1986-04-07,228.64999999999998
1986-04-08,231.05
1986-04-09,233.65
1986-04-10,235.10000000000002
1986-04-11,236.2
1986-04-14,236.65
1986-04-15,237.5
1986-04-16,239.95
1986-04-17,242.6
1986-04-18,242.7
1986-04-21,243.55
1986-04-22,243.55
1986-04-23,242.10000000000002
1986-04-24,241.9
1986-04-25,242.15
1986-04-28,242.7
1986-04-29,241.8
